epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,215.188,1.15721,1.03985,1.15315,0.59872,0.47989,0.50989,0.3296,1.22392,1.21095,1.22964,0.00998705,0.00332902,0.00998705,0.00332902,0.00998705,0.00332902,0.00998705,0.00332902
2,408.408,1.24613,1.15515,1.19567,0.47618,0.38335,0.39224,0.23002,1.44269,1.50494,1.37294,0.0197892,0.00659639,0.0197892,0.00659639,0.0197892,0.00659639,0.0197892,0.00659639
3,593.415,1.40727,1.40876,1.29925,0.40573,0.32088,0.30335,0.16296,1.64977,1.98403,1.56189,0.0293933,0.00979777,0.0293933,0.00979777,0.0293933,0.00979777,0.0293933,0.00979777
4,775.468,1.50479,1.57413,1.37361,0.4487,0.33536,0.33299,0.18695,1.56023,1.85354,1.47665,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,957.344,1.45552,1.48266,1.3425,0.43875,0.35641,0.34937,0.19588,1.5121,1.69337,1.43547,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1139.65,1.40756,1.39361,1.31411,0.47014,0.38619,0.38916,0.22802,1.5003,1.54888,1.44423,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1321.72,1.3643,1.31938,1.28275,0.4934,0.41644,0.40282,0.23616,1.47434,1.55669,1.41569,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1503.71,1.32735,1.25813,1.25999,0.52482,0.42404,0.42705,0.25193,1.43422,1.44895,1.39183,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1686.13,1.29764,1.20016,1.23679,0.58216,0.40289,0.43686,0.25913,1.43431,1.41551,1.38411,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1868.04,1.27146,1.16603,1.22564,0.63269,0.39842,0.45983,0.28595,1.40361,1.36459,1.35285,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2078.94,1.24444,1.12041,1.20798,0.53303,0.46103,0.45572,0.2804,1.38279,1.35644,1.34369,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2260.85,1.23034,1.09323,1.19532,0.57289,0.4342,0.46038,0.28312,1.39005,1.37306,1.35125,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2442.74,1.20818,1.06158,1.18171,0.58061,0.44537,0.46181,0.28988,1.37043,1.34467,1.33581,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2624.48,1.18711,1.02489,1.16965,0.54395,0.46995,0.4744,0.28953,1.37107,1.30378,1.32722,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2806.26,1.17133,0.9979,1.15487,0.54716,0.48408,0.47052,0.29113,1.35368,1.28598,1.32075,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2987.96,1.15696,0.97794,1.14981,0.52108,0.47899,0.48015,0.30162,1.3683,1.28596,1.33536,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3169.63,1.14407,0.95528,1.13765,0.5477,0.47906,0.47782,0.29587,1.36045,1.28256,1.33039,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3351.2,1.12903,0.94068,1.13095,0.62383,0.46123,0.49905,0.31202,1.33703,1.28727,1.30798,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3532.87,1.12184,0.92131,1.12248,0.5698,0.48122,0.4875,0.30234,1.35268,1.27913,1.32591,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3714.43,1.10725,0.90714,1.11632,0.58466,0.47712,0.47226,0.29747,1.33988,1.28325,1.32454,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3925.03,1.09524,0.88908,1.10813,0.58703,0.48505,0.50245,0.31593,1.33045,1.25396,1.31364,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4106.7,1.07971,0.87085,1.10033,0.54192,0.49039,0.49572,0.30844,1.33149,1.24977,1.30345,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4288.78,1.06564,0.85912,1.09471,0.57163,0.51713,0.50345,0.31541,1.32104,1.24554,1.31165,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4470.39,1.06635,0.85243,1.09367,0.59842,0.46947,0.48961,0.31546,1.31752,1.24447,1.29901,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4652.04,1.05785,0.8348,1.08554,0.58016,0.48662,0.4991,0.32101,1.31773,1.26116,1.29646,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4833.97,1.04787,0.82323,1.07877,0.63916,0.47189,0.50575,0.32605,1.32637,1.25202,1.30789,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5015.81,1.04201,0.81305,1.07689,0.60744,0.48122,0.50635,0.31959,1.32072,1.23859,1.29979,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5197.42,1.02331,0.79503,1.06942,0.57911,0.50188,0.51195,0.32209,1.33717,1.24889,1.31221,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5379.53,1.02031,0.78913,1.0665,0.59786,0.49378,0.51374,0.32691,1.31826,1.23584,1.30613,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5561.15,1.01386,0.78454,1.0618,0.58909,0.48528,0.49863,0.32052,1.31206,1.24077,1.29443,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5771.62,0.9987,0.76921,1.0552,0.59772,0.5027,0.50735,0.32013,1.3202,1.22386,1.3038,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5953.15,0.9956,0.75903,1.05225,0.61993,0.4807,0.5065,0.31897,1.31523,1.2345,1.29743,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6134.75,0.98943,0.75267,1.04744,0.61978,0.48029,0.50045,0.31981,1.32349,1.24063,1.299,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
